26,663,6
26,306,1
55,248,7
80,997,1
106,1171,1
116,1218,9
117,16434,1
151,1466,1
177,1364,1
234,2102,1
248,55,2
268,2238,4
274,973,2
274,1619,1
282,807,2
286,820,1
306,26,1
340,12389,9
340,10083,6
340,2424,5
340,2635,1
340,2653,1
340,4237,1
340,7495,1
375,2813,3
408,5904,1
410,1180,1
427,2943,4
427,16342,2
451,3084,2
465,749,1
485,767,2
495,1275,14
495,1278,9
495,16420,1
593,3530,2
601,1527,1
659,973,2
663,26,3
663,15242,2
749,465,7
749,15433,1
752,2218,3
752,2220,2
752,2223,2
767,485,4
774,1243,1
774,1587,1
788,5534,2
790,5574,1
807,282,1
820,286,1
824,992,1
973,274,1
973,659,1
984,1984,1
992,1619,1
992,11267,1
992,824,1
997,80,1
1042,13666,6
1076,3602,1
1159,7337,1
1171,106,2
1180,410,1
1183,2004,1
1218,116,1
1243,774,1
1265,1270,1
1270,1265,1
1275,495,6
1275,1278,3
1278,495,5
1278,1275,5
1314,1593,5
1364,2963,1
1364,177,1
1416,13460,2
1466,151,1
1527,8671,1
1527,601,1
1587,774,2
1593,1314,2
1619,1672,2
1619,3120,2
1619,5027,2
1619,274,2
1619,2877,1
1619,992,1
1622,3795,2
1642,5750,1
1672,3409,3
1672,1804,2
1672,3120,1
1672,6014,1
1672,7011,1
1672,1619,1
1707,4320,2
1714,7883,6
1714,9110,2
1714,8785,1
1714,9452,1
1804,1672,2
1804,4955,1
1830,3934,1
1842,7420,2
1866,5059,1
1922,2004,2
1922,12937,1
1922,13581,1
1938,2457,2
1984,984,1
2004,1922,3
2004,1183,2
2102,234,1
2160,7786,1
2179,11186,3
2179,11184,1
2215,4504,1
2218,752,8
2218,2223,4
2218,2225,3
2218,2220,2
2220,2218,3
2220,752,2
2223,2218,5
2223,752,4
2225,2218,2
2238,268,1
2327,4677,1
2365,3230,3
2365,4237,1
2424,340,2
2457,1938,1
2553,10652,1
2554,10652,8
2635,340,1
2653,340,1
2813,375,1
2845,7684,2
2854,3602,4
2877,1619,2
2917,4141,2
2943,427,2
2961,4932,1
2963,4320,1
2963,1364,1
3062,4083,1
3084,451,1
3120,1672,2
3120,3409,1
3120,5027,1
3120,7011,1
3120,1619,1
3230,2365,1
3301,7407,1
3405,15300,1
3409,7011,1
3409,7778,1
3409,1672,1
3409,3120,1
3410,4955,1
3530,593,1
3602,2854,3
3602,1076,1
3795,1622,4
3934,1830,2
4083,3062,1
4141,2917,5
4237,340,1
4237,2365,1
4320,4386,1
4320,1707,1
4320,2963,1
4376,5537,2
4376,4377,1
4377,4376,1
4386,4320,3
4471,5027,1
4504,2215,1
4642,5814,1
4677,2327,1
4932,2961,1
4948,13863,1
4955,1804,1
4955,3410,1
4960,4961,1
4961,4960,1
5027,3120,2
5027,1619,1
5027,4471,1
5059,1866,1
5169,7886,4
5359,12667,4
5534,788,1
5537,4376,4
5574,790,2
5578,12207,1
5750,14495,1
5750,1642,1
5780,8478,1
5788,15914,2
5800,7610,2
5814,4642,1
5904,408,1
5978,6413,1
6014,1672,1
6413,5978,1
6447,11075,1
6822,16434,8
7011,1672,2
7011,3120,1
7011,3409,1
7327,7769,3
7337,1159,1
7407,3301,1
7420,1842,2
7495,340,1
7610,5800,2
7684,2845,3
7699,8354,1
7769,7327,3
7778,3409,2
7786,11039,1
7786,2160,1
7883,1714,1
7886,5169,4
8002,14176,1
8187,8868,1
8354,7699,1
8478,5780,7
8671,1527,2
8785,1714,1
8868,8187,2
8939,15210,1
9110,1714,2
9201,14201,15
9452,1714,1
10083,340,6
10652,2553,5
10652,2554,5
10652,12625,2
11000,14774,1
11039,7786,1
11075,6447,2
11184,2179,5
11186,2179,3
11267,992,1
11656,11657,14
11657,11656,5
12207,5578,1
12291,13627,1
12389,340,9
12625,10652,1
12667,5359,3
12937,1922,1
13063,13064,1
13064,13063,2
13460,1416,1
13581,1922,1
13627,12291,1
13666,1042,2
13863,4948,1
14176,8002,1
14201,9201,1
14495,5750,1
14774,11000,2
15210,8939,1
15242,663,1
15300,3405,1
15433,749,1
15893,15924,1
15914,5788,2
15924,16078,1
15924,15893,1
16078,15924,1
16342,427,2
16420,495,1
16434,6822,8
16434,117,2
