userID,paperID
26,10328426
26,10462488
26,10495000
26,10685244
26,10790107
26,11239775
26,11601190
26,11935031
26,12074867
26,12137763
26,12358751
26,1236150
26,12459114
26,12534767
26,12591376
26,12595097
26,12604113
26,12615300
26,12666821
26,12701612
26,12722111
26,12726191
26,12735315
26,12811138
26,12825507
26,12838127
26,12856949
26,12902054
26,12903309
26,12904787
26,12904793
26,12905052
26,12907370
26,12907518
26,12907593
26,12922472
26,12925435
26,12925743
26,12926947
26,12932727
26,12935658
26,12942226
26,12942415
26,12953353
26,12974481
26,13050969
26,13071646
26,13074737
26,13074796
26,13076358
26,13076401
26,13095209
26,13097660
26,13107595
26,13108178
26,13110601
26,13111699
26,13111874
26,13111875
26,13113616
26,13114309
26,13117391
26,13119189
26,13120608
26,13122989
26,13124714
26,13125522
26,13127218
26,13130174
26,13131810
26,13138528
26,13140786
26,13140815
26,13140818
26,13141426
26,13141454
26,13141666
26,13141926
26,13141945
26,13141963
26,13141978
26,13141993
26,13141996
26,13141997
26,13142067
26,13142073
26,13145544
26,13145596
26,13148914
26,13148924
26,13150390
26,13152096
26,13152461
26,13154219
26,13157395
26,13157396
26,13158299
26,13158860
26,13159170
26,13160071
26,13160438
26,13160636
26,13161304
26,13161808
26,13166118
26,13166697
26,13176060
26,13176418
26,13176906
26,13198464
26,13199192
26,13203066
26,13207110
26,13207264
26,13211000
26,13214792
26,13215838
26,13223305
26,1323458
26,13235382
26,13241379
26,13241404
26,13242965
26,13244666
26,13249400
26,13250585
26,13250588
26,13251104
26,13251201
26,13251206
26,13251265
26,13256606
26,13268407
26,13268408
26,13293737
26,13295607
26,13295608
26,13296019
26,13311743
26,13311806
26,13313528
26,13314588
26,13318347
26,13319043
26,13319847
26,13324530
26,13324562
26,13327133
26,13328076
26,13328432
26,13328558
26,13330044
26,13332174
26,13332582
26,13334719
26,13335046
26,13336924
26,13338436
26,13339267
26,13339493
26,13342058
26,13347453
26,13347495
26,13349267
26,13350341
26,13353790
26,13362110
26,13364492
26,13364501
26,13364572
26,13366754
26,13371532
26,13376612
26,13379296
26,13379298
26,13379387
26,13382464
26,13382630
26,13384706
26,13384707
26,13384875
26,13385213
26,13385967
26,13387448
26,13387672
26,13390327
26,13390578
26,13390582
26,13390690
26,13390749
26,13390824
26,13391638
26,13398218
26,13398222
26,13401437
26,13408439
26,13410086
26,13410088
26,13411398
26,13412039
26,13412040
26,13412222
26,13416927
26,13419039
26,13421919
26,13423499
26,13426811
26,13429120
26,13429386
26,13433029
26,13435528
26,13443983
26,13444849
26,13446718
26,13447186
26,13447187
26,13447300
26,13453106
26,13454063
26,13454729
26,13457913
26,13458625
26,13458951
26,13459869
26,13459894
26,13460687
26,13460688
26,13461281
26,13461292
26,13461309
26,166220
26,187160
26,2191724
26,2263983
26,2334989
26,2364172
26,3318004
26,3873623
26,4097829
26,4260844
26,484976
26,5014687
26,5236085
26,7708598
26,7750626
26,7968381
26,9075469
26,9240104
26,9342839
26,959877
55,10272184
55,10425400
55,10673968
55,10864148
55,11281117
55,11798461
55,11805051
55,1180955
55,11850557
55,12033178
55,12159041
55,12217556
55,12217559
55,12236478
55,12237238
55,12237348
55,12238933
55,12258066
55,12258073
55,12274227
55,12280949
55,12284440
55,12284620
55,12294639
55,12296859
55,12325720
55,12325753
55,12325755
55,12330126
55,12334683
55,12359881
55,12359944
55,12360164
55,12360306
55,12360341
55,12364007
55,12380669
55,12397022
55,12399138
55,12399143
55,12407307
55,12407345
55,12407686
55,12407731
55,12407747
55,12412332
55,12412363
55,12415637
55,12439236
55,12446208
55,12447776
55,12448390
55,12458665
55,12459731
55,12463966
55,12464531
55,12464536
55,12473066
55,12473116
55,12473198
55,12473497
55,12474202
55,12589404
55,12589424
55,12601759
55,12605567
55,12606670
55,12607681
55,12608328
55,12608331
55,12608367
55,12609983
55,12610243
55,12610340
55,12628063
55,12628064
55,12635139
55,12635141
55,12655230
55,12682016
55,12693843
55,12721241
55,12726529
55,12726532
55,12727307
55,12727346
55,12727354
55,12728145
55,12729384
55,12729506
55,12729517
55,12734323
55,12735821
55,12742464
55,12742725
55,12768111
55,12792432
55,12796727
55,12796776
55,12810943
55,12810988
55,12810996
55,12811029
55,12811032
55,12819099
55,12824700
55,12824739
55,12829104
55,12850582
55,12856596
55,12856603
55,12856616
55,12856624
55,12856627
55,12856635
55,12856642
55,12856643
55,12856647
55,12856772
55,12856818
55,12856819
55,12857328
55,12857636
55,12857651
55,12903721
55,12905176
55,12920115
55,12929304
55,12955210
55,13044993
55,13045011
55,13045024
55,13045220
55,13049620
55,13053540
55,13053542
55,13055036
55,13072472
55,13072476
55,13073911
55,13074136
55,13090621
55,13090986
55,13094765
55,13095228
55,13097805
55,13097806
55,13098083
55,13098106
55,13111822
55,13113293
55,13114707
55,13120586
55,13120589
55,13121548
55,13121561
55,13121564
55,13159580
55,13162139
55,13163348
55,13163539
55,13175028
55,13201489
55,13204814
55,13210059
55,13211644
55,13218564
55,13222259
55,13233196
55,13243368
55,13244009
55,13245561
55,13245623
55,13247336
55,13248961
55,13267604
55,13299487
55,13326103
55,13326302
55,13326305
55,13326322
55,13326323
55,13328480
55,13328537
55,13342387
55,13345075
55,13346398
55,13347478
55,13349340
55,13358632
55,13367680
55,13371056
55,13378563
55,13380357
55,13380359
55,13380361
55,13385520
55,13386715
55,13398896
55,13399057
55,13399062
55,13399073
55,13399649
55,13401510
55,13402816
55,13404161
55,13404162
55,13404165
55,13404166
55,13404167
55,13407706
55,13407950
55,13408797
55,13410034
55,13410035
55,13410180
55,13413034
55,13413082
55,13414428
55,13414435
55,13414448
55,13414466
55,13420022
55,13434985
55,13435571
55,13435583
55,13435585
55,13435589
55,13435636
55,13446588
55,13446593
55,13446595
55,13449451
55,13456584
